Altium Designer Pick and Place Locations
C:\MyFiles\x-io\Services\MICA Lab\Twintig\Twintig-Carpus\Project Outputs for Twintig-Carpus\Pick Place\Pick Place for Twintig-Carpus.csv

========================================================================================================================
File Design Information:

Date:       06/03/25
Time:       20:31
Revision:   acc91bbe9e13be6b24ced1c1676d24bc6b4b47c5
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"L2","2.2500mm","7.7500mm","TopLayer","0","3.3uH, 80mR (SRN3015C-3R3M)"
"L1","2.2500mm","14.7500mm","TopLayer","0","3.3uH, 80mR (SRN3015C-3R3M)"
"U9_CH4","27.2500mm","24.7500mm","TopLayer","90","SN74LVC1G97DRLR"
"U9_CH1","2.7500mm","24.7500mm","TopLayer","270","SN74LVC1G97DRLR"
"C24_CH1","1.0000mm","24.7500mm","TopLayer","270","1uF"
"U9_CH2","10.2500mm","27.2500mm","TopLayer","180","SN74LVC1G97DRLR"
"C24_CH2","10.2500mm","29.0000mm","TopLayer","180","1uF"
"U9_CH3","19.7500mm","27.2500mm","TopLayer","180","SN74LVC1G97DRLR"
"C24_CH3","19.7500mm","29.0000mm","TopLayer","180","1uF"
"U9_CH5","27.2500mm","15.2500mm","TopLayer","90","SN74LVC1G97DRLR"
"U7","8.7500mm","4.2500mm","TopLayer","180","SN74LVC1G97DRLR"
"C24_CH4","29.0000mm","24.7500mm","TopLayer","90","1uF"
"C24_CH5","29.0000mm","15.2500mm","TopLayer","90","1uF"
"R3","4.7500mm","22.5000mm","TopLayer","270","10kR"
"U6","20.7500mm","2.0000mm","TopLayer","90","SK6805-EC15"
"U5","9.2500mm","2.0000mm","TopLayer","90","SK6805-EC15"
"R7","28.5000mm","13.5000mm","TopLayer","180","4.7kR"
"C20","20.7500mm","3.5000mm","TopLayer","0","1uF"
"U8","28.5000mm","9.7500mm","TopLayer","180","DRV2605LYZF"
"R6","28.5000mm","12.5000mm","TopLayer","180","4.7kR"
"C21","28.5000mm","8.2500mm","TopLayer","0","1uF"
"C22","28.5000mm","11.5000mm","TopLayer","180","1uF"
"C19","10.2500mm","4.2500mm","TopLayer","270","1uF"
"U4","6.5000mm","3.5000mm","TopLayer","90","24AA32AT-I/MC"
"R5","7.5000mm","1.0000mm","TopLayer","180","4.7kR"
"R4","5.7500mm","1.0000mm","TopLayer","0","4.7kR"
"C18","6.2500mm","6.0000mm","TopLayer","180","100nF"
"C23_CH5","25.2500mm","22.2500mm","TopLayer","270","1uF"
"C23_CH4","21.7500mm","25.2500mm","TopLayer","0","1uF"
"C23_CH3","13.0000mm","25.2500mm","TopLayer","0","1uF"
"C23_CH2","1.0000mm","26.5000mm","TopLayer","90","1uF"
"C23_CH1","4.7500mm","17.2500mm","TopLayer","90","1uF"
"R9_CH5","25.2500mm","17.0000mm","TopLayer","90","4.7kR"
"R9_CH4","25.2500mm","25.2500mm","TopLayer","180","4.7kR"
"R9_CH3","18.2500mm","25.2500mm","TopLayer","180","4.7kR"
"R9_CH2","9.5000mm","25.2500mm","TopLayer","180","4.7kR"
"R9_CH1","4.7500mm","20.7000mm","TopLayer","270","4.7kR"
"R8_CH5","25.2500mm","18.7500mm","TopLayer","270","4.7kR"
"R8_CH4","23.5000mm","25.2500mm","TopLayer","0","4.7kR"
"R8_CH3","16.5000mm","25.2500mm","TopLayer","0","4.7kR"
"R8_CH2","7.7500mm","25.2500mm","TopLayer","0","4.7kR"
"R8_CH1","4.7500mm","19.0000mm","TopLayer","90","4.7kR"
"J2_CH5","27.5000mm","20.0000mm","TopLayer","270","Molex 502426-2030"
"J2_CH4","24.5000mm","27.5000mm","TopLayer","0","Molex 502426-2030"
"J2_CH3","15.0000mm","27.5000mm","TopLayer","0","Molex 502426-2030"
"J2_CH2","5.5000mm","27.5000mm","TopLayer","0","Molex 502426-2030"
"U3","2.2500mm","4.2500mm","TopLayer","270","TPS63002"
"C17","2.7500mm","1.5000mm","TopLayer","270","10uF"
"C16","4.7500mm","6.5000mm","TopLayer","270","10uF"
"C15","4.7500mm","4.7500mm","TopLayer","90","10uF"
"C14","4.7500mm","3.0000mm","TopLayer","270","10uF"
"C13","3.8750mm","1.5000mm","TopLayer","270","10uF"
"U2","2.2500mm","11.2500mm","TopLayer","270","TPS63001"
"C12","4.7500mm","10.0000mm","TopLayer","90","10uF"
"C11","4.7500mm","11.7500mm","TopLayer","270","10uF"
"C10","4.7500mm","13.5000mm","TopLayer","90","10uF"
"C9","11.2500mm","25.2500mm","TopLayer","0","100nF"
"C8","4.7500mm","15.5000mm","TopLayer","270","100nF"
"C7","14.7500mm","25.2500mm","TopLayer","0","100nF"
"C6","20.0000mm","25.2500mm","TopLayer","0","100nF"
"C5","4.7500mm","8.2500mm","TopLayer","270","100nF"
"C4","25.2500mm","20.5000mm","TopLayer","270","100nF"
"C3","13.5000mm","4.7500mm","TopLayer","0","100nF"
"C2","25.2500mm","15.2500mm","TopLayer","270","100nF"
"C1","19.0000mm","4.7500mm","TopLayer","0","100nF"
"Y1","5.5000mm","24.5000mm","TopLayer","0","ECS-TXO-2520-33-240-AN-TR"
"J2_CH1","2.5000mm","20.0000mm","TopLayer","90","Molex 502426-2030"
"U1","15.0000mm","15.0000mm","TopLayer","180","PIC32MZ2048EFH144-250I/PH"
"R2","11.7500mm","4.7500mm","TopLayer","180","470R"
"R1","20.7500mm","4.7500mm","TopLayer","180","10kR"
"M1","26.0950mm","13.5000mm","TopLayer","90","VG0832014L"
"J1","15.0000mm","2.4998mm","TopLayer","180","Molex 502426-2630"
